CO(GT);PT08.S1(CO);NMHC(GT);C6H6(GT);PT08.S2(NMHC);NOx(GT);PT08.S3(NOx);NO2(GT);PT08.S4(NO2);PT08.S5(O3);T;RH;AH
1.4;940;95;5.1;769;100;1103;90;1310;731;15.5;37;0.6447
2.8;1126;347;13;1083;116;875;93;1654;955;14.8;39.5;0.6595
2.1;978;252;7;858;102;1013;79;1379;761;14.5;42;0.6896
1.1;893;66;3.9;703;55;1192;57;1283;515;14.1;44.9;0.7206
0.7;838;45;2.2;601;33;1361;43;1220;434;14.2;45.5;0.7333
0.4;803;36;1.3;527;17;1513;25;1152;369;14.1;45.3;0.7247
0.3;775;26;0.8;477;-200;1722;-200;1115;335;14;44.3;0.7038
-200;767;17;0.6;454;10;1826;17;1091;319;14.1;43;0.689
0.4;809;21;1.2;521;35;1575;44;1158;378;13.9;43.9;0.6923
0.8;898;60;3.4;676;70;1271;72;1307;517;14;43.8;0.6959
1.9;1053;155;7.5;880;116;982;91;1464;786;14.4;43.6;0.7113
2.1;1033;235;8.9;934;134;917;89;1490;844;15;41.7;0.7093
1.4;941;89;5.3;780;113;1080;84;1343;720;16.3;38.4;0.7052
1.4;941;76;5.4;782;110;1102;83;1328;668;18.3;32.3;0.676
1.3;917;101;5.2;772;98;1098;78;1311;605;18.8;31.7;0.6821
1.5;977;109;6.6;837;96;1038;80;1413;646;19.6;30.9;0.6968
1.6;994;143;6.9;851;95;1018;75;1436;640;20.2;30.7;0.7176
1.3;942;104;5.4;785;86;1065;77;1365;571;19.7;32.5;0.7396
1.4;981;107;6;810;86;1060;77;1395;605;20.7;31.6;0.7602
1.5;984;133;6.4;832;91;1034;81;1410;636;20;32.7;0.7545
2.2;1116;171;10.7;1003;119;864;101;1625;886;18.6;35.4;0.7535
3.2;1181;405;13.9;1114;147;787;119;1685;1032;18.3;35.9;0.7501
3;1163;334;12.5;1068;135;811;111;1616;977;17.8;37.5;0.7568
2.6;1081;236;9.3;950;124;907;109;1496;924;17.3;38.8;0.7584
1.6;1017;99;6.7;842;89;1000;101;1441;846;17.3;38.8;0.7596
1.5;966;93;5.3;778;79;1057;89;1359;755;16.4;40.8;0.7542
1.2;924;82;4;709;63;1158;75;1318;610;16;41.4;0.7487
0.8;861;51;2.2;601;39;1351;51;1225;439;15.4;43;0.7482
0.7;826;41;1.7;560;25;1424;39;1197;402;15.7;42.5;0.7539
0.5;846;31;1.6;557;19;1385;32;1212;406;15.6;43.4;0.7651
0.5;842;41;1.5;545;-200;1423;-200;1224;424;15.2;45.8;0.7864
-200;909;41;2.5;617;34;1236;49;1302;558;14.7;49.9;0.828
0.7;930;38;3.3;670;58;1143;68;1339;746;15.5;47.3;0.8282
1.4;1120;111;8.9;935;112;843;76;1593;1126;14.4;53.1;0.8677
4.1;1518;584;23.4;1389;314;589;122;2101;1703;15.9;48.5;0.8704
4.6;1461;633;23.8;1398;240;630;129;2050;1628;18.1;40.3;0.8294
1.9;1075;145;7.9;896;128;938;94;1487;936;19.6;35.9;0.81
1.9;1061;155;8.2;908;141;968;99;1455;890;22.8;29.1;0.796
1.7;1066;128;8.8;931;118;979;81;1474;757;24.8;25.3;0.7793
2.4;1179;255;14.6;1137;132;829;87;1651;949;27.2;22;0.7785
3;1251;411;18;1238;150;773;107;1779;1109;28.2;20.4;0.7677
2;1120;173;12;1048;121;898;95;1560;870;25.4;24.2;0.7733
2.7;1187;277;14.8;1142;149;840;110;1651;1011;25.7;23.8;0.7737
2.2;1145;259;12.5;1066;120;903;99;1592;885;27.2;22.1;0.7811
2.9;1215;274;15.5;1164;155;817;113;1689;1015;27;22.3;0.786
3.4;1317;377;17.7;1231;172;766;127;1798;1155;24.5;27.8;0.8433
3.9;1388;457;21.6;1341;177;702;131;1955;1315;23.7;30.2;0.8718
3.6;1295;555;18.9;1266;181;716;137;1849;1359;21.5;34.5;0.8746
2.5;1153;279;12.5;1066;135;811;122;1651;1194;19.9;37.8;0.8675
1.8;1078;137;8.8;932;99;905;100;1511;951;18.9;40.6;0.8771
2;1133;203;10.9;1012;111;806;108;1608;1054;17.9;43.5;0.884
1.3;1055;101;8;899;72;880;83;1504;980;17.4;46.3;0.9112
1;953;86;4.4;735;54;999;74;1396;898;18.1;44.7;0.9186
0.6;892;51;2.8;639;41;1139;64;1359;803;16.5;50.1;0.9331
0.6;895;47;2.7;632;-200;1167;-200;1347;684;14.2;56.9;0.9141
-200;859;35;2.2;602;24;1209;40;1321;644;14.7;56.2;0.9341
0.5;856;33;2.5;619;29;1191;39;1345;677;16.3;52.8;0.9722
1.1;1030;95;7.5;880;76;892;69;1539;996;13.9;60.7;0.9597
5.5;1689;754;30.4;1560;321;529;104;2396;1736;15;58.3;0.9876
4.2;1486;588;22;1351;274;571;100;2112;1692;16.1;54.8;0.996
4.6;1592;658;24.7;1423;322;577;146;2155;2108;19.3;46.4;1.0248
3.4;1469;372;18.4;1252;255;692;155;1903;1807;24.2;33.8;1.0097
2.8;1364;386;16.8;1205;196;723;139;1850;1566;26.7;28.7;0.9895
2.5;1285;333;14.2;1123;136;755;121;1741;1293;27.4;28.2;1.0098
2.4;1311;293;15.7;1170;119;748;108;1787;1219;28.1;26.9;1.0094
3.2;1416;511;21.9;1348;169;684;126;1969;1330;27.7;26.5;0.9693
3.5;1387;559;20.8;1318;197;701;145;1890;1299;28.4;23.4;0.8935
2.9;1329;375;16.2;1185;140;768;121;1750;1111;28.4;26;0.9922
3.6;1496;509;19.8;1292;178;680;145;1878;1300;27.3;30;1.0752
4.8;1676;790;28.9;1525;223;567;160;2226;1653;24.3;37.3;1.1199
5.4;1724;816;28.3;1510;222;562;155;2252;1716;23.1;42.2;1.1746
5.3;1642;804;24.9;1426;265;597;162;2117;1720;21.8;43.6;1.1226
2.7;1267;332;13.1;1088;151;764;129;1740;1339;19.8;46.8;1.0702
1.4;1146;156;8.6;923;79;845;96;1575;1166;19.6;49.8;1.1221
1.6;1216;143;9.5;960;87;788;92;1662;1256;17.9;56.2;1.142
1.5;1128;117;7.8;891;88;838;89;1574;1125;17.4;55.6;1.0963
1;1042;84;5.2;772;51;923;61;1495;968;16.8;59.5;1.1269
0.6;926;60;2.8;639;34;1115;54;1409;814;15.9;60.1;1.0806
0.4;898;76;2.3;608;-200;1154;-200;1386;743;15.6;61.2;1.0784
-200;889;40;2.5;617;31;1168;44;1382;758;14.6;63.4;1.0446
0.8;959;64;4.4;734;76;1038;57;1470;861;13.3;67;1.0203
1.5;1097;148;9.4;956;139;827;68;1620;1047;12.9;66.5;0.9846
4.9;1674;635;29.8;1547;293;539;95;2405;1665;14.8;61.3;1.0237
7.2;1771;1129;36.2;1690;368;461;125;2572;1982;16.1;56.5;1.0274
3.5;1408;475;18;1241;250;648;135;1886;1711;18.6;47.8;1.0143
2.1;1156;220;10.9;1009;145;875;118;1583;1204;23.8;30.2;0.8771
1.5;1042;105;9;941;110;971;91;1491;871;25.4;25;0.7966
2;1167;190;14.4;1128;104;829;89;1716;1040;25.6;25.5;0.8234
3.8;1398;516;22.3;1360;205;656;129;2037;1439;24.9;29.9;0.9325
3.4;1458;346;20.9;1321;201;654;122;2023;1516;22.4;37.9;1.016
4.4;1554;565;23.1;1379;266;614;138;2151;1693;21.7;44;1.1242
3.9;1495;483;21.2;1331;246;615;136;2069;1635;21.4;44.4;1.1176
4.9;1560;651;24.8;1424;247;579;143;2176;1688;20.8;45.3;1.1016
5.4;1664;657;28.6;1519;271;553;145;2312;1820;20.2;48.6;1.1354
6.5;1761;830;32.6;1610;332;502;146;2488;2006;20.2;50.8;1.1924
4.3;1524;435;19.2;1275;245;608;122;2046;1740;18.6;57.6;1.2233
2.9;1398;209;16.3;1189;180;646;112;1931;1577;18.2;58.8;1.2173
2.7;1342;202;13.7;1106;156;694;102;1856;1443;17.8;61;1.2352
2.8;1433;174;13.6;1104;172;681;97;1876;1411;17;70.7;1.3554
2.3;1297;170;11.1;1019;137;733;85;1823;1217;16.2;76.9;1.4051
1.7;1179;116;7.6;884;91;830;76;1696;1086;15.7;78.6;1.3943
1.2;1097;91;5.9;809;80;897;74;1628;1050;15.7;78.4;1.3917
1;1054;71;5;761;-200;963;-200;1598;965;15.7;77.4;1.3683
-200;1017;59;4;711;46;1009;56;1554;906;15.4;78.5;1.3635
0.8;1005;48;4.5;738;68;1005;66;1563;917;15.7;74.7;1.3194
1.7;1206;111;9.3;949;162;818;90;1771;1116;15.9;73.1;1.3136
3;1458;345;18.3;1249;213;662;111;2033;1380;16.6;68.2;1.2737
3.4;1405;332;19.9;1295;161;638;103;2065;1378;18.7;57.6;1.2323
3.3;1381;344;16.6;1199;209;685;117;1970;1365;17.6;65;1.2945
2.7;1315;212;12.6;1072;191;736;116;1833;1273;16.3;73.2;1.3458
2.6;1332;166;12.9;1082;215;707;109;1889;1242;16;78.5;1.4209
3.2;1362;214;14.9;1145;212;673;116;1973;1294;17.3;72.4;1.4125
3.4;1399;377;17.4;1222;202;643;115;2061;1413;19.4;60.9;1.3545
2.6;1310;210;15.4;1160;153;695;94;1939;1224;21.4;50.9;1.2823
3.4;1399;265;16.7;1201;185;699;121;1971;1318;22.7;45.8;1.2465
4;1524;365;18;1239;210;644;114;2139;1404;20.9;60.8;1.4852
4.5;1487;454;19.2;1274;215;641;110;2133;1471;21;54.3;1.3353
4.2;1480;460;21;1324;215;622;122;2162;1623;20.8;54.4;1.3194
5.7;1626;642;26.9;1476;281;555;135;2356;1786;19.8;58.6;1.3392
4.4;1449;501;19.5;1282;254;625;133;2100;1569;19.1;61.1;1.3345
3.1;1363;234;15.1;1152;189;684;110;1951;1495;18.2;65.4;1.3529
3;1371;212;14.6;1136;174;689;102;1927;1471;18.1;66.1;1.3579
3.1;1406;275;13.7;1107;167;718;108;1872;1384;17.7;66.9;1.3422
3.5;1425;275;15.2;1155;185;709;110;1936;1789;17.8;66.8;1.346
2.4;1179;-200;9.3;951;129;826;84;1724;1323;17.3;68.3;1.3346
1.6;1047;-200;6.5;833;85;939;71;1647;1081;16.5;70.2;1.3099
1.3;1009;-200;6.3;825;-200;950;-200;1629;938;15.7;73.1;1.2902
-200;882;-200;3.5;685;35;1134;42;1492;673;16.2;69.9;1.2756
0.6;858;-200;2.6;624;24;1205;32;1434;543;16.7;67.1;1.2619
0.7;875;-200;3.1;659;30;1180;35;1452;561;16.7;66.9;1.2631
1.2;1012;-200;6.5;833;75;916;67;1632;862;16.9;66.5;1.2688
1.5;1049;-200;6.5;836;79;926;73;1615;901;17.7;62;1.2458
1.8;1131;-200;8.8;932;104;854;86;1693;1048;19.4;54.6;1.2184
2.1;1120;-200;8.8;931;118;886;89;1652;971;21.6;46.1;1.1725
1.9;1117;-200;9.2;946;105;909;86;1657;915;24.6;36.7;1.1202
2;1110;-200;9.2;948;101;901;86;1632;891;26;31.9;1.0566
1.3;962;-200;6.1;816;65;1044;66;1489;628;25.6;31.5;1.0184
1.3;963;-200;6.5;835;59;1029;68;1495;556;24.8;34.8;1.0716
1.8;1050;-200;9.2;948;80;928;82;1584;652;26.1;30.3;1.0101
2;1053;-200;8.3;911;98;949;91;1603;683;25.5;33.5;1.0767
1.8;1045;-200;8.3;910;89;948;95;1598;624;23.7;37.2;1.0746
2.4;1124;-200;11;1013;114;849;104;1676;733;22.3;38.9;1.0324
4;1330;-200;14.7;1140;195;759;131;1780;1062;20.7;42.8;1.0298
2.8;1171;-200;10.8;1006;156;835;112;1674;988;19;51.7;1.1222
2;1085;-200;9.4;954;109;866;100;1656;871;17.8;55.5;1.1174
3.6;1358;-200;14.8;1144;184;727;115;1851;1243;17.4;57.6;1.1342
3.7;1385;-200;13.3;1094;190;765;129;1769;1175;17.6;58.5;1.1645
2.3;1167;-200;8.4;914;105;876;99;1599;1126;17.2;59.3;1.1551
1.8;1072;-200;7.9;894;76;893;74;1646;1118;17.1;60.4;1.1633
0.9;938;-200;5.5;789;38;989;55;1536;864;16.4;62.2;1.1507
1.6;1000;-200;6.6;838;-200;910;-200;1580;942;14.8;67.6;1.1352
-200;854;-200;3.3;670;26;1141;35;1460;684;14.8;65.8;1.1028
0.6;815;-200;2.6;628;33;1212;37;1426;689;14.7;65.2;1.0811
0.7;866;-200;3.6;689;57;1138;45;1456;767;13.1;70.2;1.0554
0.8;911;-200;4.8;751;48;1036;46;1518;817;14.3;66.2;1.0728
1.2;988;-200;5.9;806;87;951;68;1568;940;16;61.6;1.1083
1.4;1046;-200;6.9;851;94;920;77;1595;908;17.7;56.4;1.1342
1.6;1085;-200;8.5;918;89;890;79;1639;871;21.3;44.7;1.1157
1.3;1008;-200;6.1;816;78;1015;72;1531;689;23.6;36.4;1.0431
1.3;1004;-200;6.2;821;72;1031;68;1510;629;24.3;34;1.0149
1.1;948;-200;4.8;754;64;1086;64;1436;602;24.4;32.7;0.9863
1.2;1026;-200;6.8;847;70;1010;73;1519;617;24.6;31.7;0.9647
1.5;1047;-200;7;859;92;948;84;1538;677;23.9;34.3;1.002
1.1;1018;-200;5.5;790;69;1047;67;1443;580;25.9;28.1;0.9258
1.9;1160;-200;9.5;957;131;884;106;1637;861;24.5;32.3;0.9815
2.3;1269;-200;11.9;1047;144;809;114;1721;1080;22.6;39.3;1.06
3.3;1394;-200;13.8;1111;209;736;123;1853;1288;21.2;47.5;1.1828
2.6;1292;-200;10.7;1003;170;789;108;1753;1163;19.9;54.9;1.2632
2.2;1212;-200;9.7;966;152;840;100;1691;1043;19.4;52.1;1.1642
2.3;1137;-200;10.2;985;171;858;118;1607;1045;19.4;42.6;0.9485
2;1080;-200;8.3;910;153;923;121;1548;929;19.1;44.1;0.966
1.6;1031;-200;7.1;861;97;903;94;1534;825;18;49.3;1.0086
0.8;917;-200;3;654;37;1169;52;1414;545;17.6;54.6;1.0918
0.6;888;-200;2.2;598;26;1228;39;1397;500;16.4;62.1;1.1493
0.4;872;-200;1.7;564;-200;1284;-200;1385;494;15.6;65.3;1.1484
-200;876;-200;1.5;547;25;1256;33;1351;505;16;61.4;1.1043
0.7;964;-200;3.7;697;61;1067;57;1516;717;15.8;64.3;1.1416
1.3;1147;-200;8.2;906;152;815;80;1687;1126;16;65.8;1.1844
3.4;1493;-200;21.1;1328;283;577;101;2193;1597;16.8;62.5;1.1869
4.7;1597;-200;26.5;1466;320;518;109;2400;1687;16.9;66.1;1.2613
3.4;1483;-200;17.4;1222;318;597;109;2054;1529;17.4;68.9;1.3557
2.5;1222;-200;12.9;1080;201;742;111;1755;1366;21.4;45;1.1291
2;1060;-200;10.9;1010;135;858;102;1623;1074;23.9;30.7;0.9002
1.9;1048;-200;11;1013;127;886;96;1584;940;26.8;25.2;0.8721
1.7;1051;-200;10.8;1008;102;911;90;1561;921;28.4;23.6;0.8983
1.4;998;-200;10;977;74;947;69;1496;695;30.3;20.1;0.8539
1.5;1058;-200;11.2;1023;81;896;74;1580;795;30.9;19.7;0.8649
2.4;1203;-200;16.8;1204;129;790;102;1744;1079;30.2;20.5;0.8672
3.9;1491;-200;23.6;1392;190;630;128;2149;1473;26.4;34.6;1.1724
4.2;1467;-200;23.3;1385;192;623;130;2084;1493;24.9;39.4;1.2268
3.7;1407;-200;19.4;1279;163;660;120;2009;1308;23.5;43.7;1.2484
3.2;1324;-200;13.1;1086;149;692;113;1903;1189;19.3;63.1;1.4028
2;1214;-200;9.8;970;119;777;100;1771;1076;18.7;64.6;1.3836
1.1;1016;-200;5.3;780;61;967;70;1566;806;19.5;57.1;1.2806
1.5;1135;-200;6.7;842;84;872;83;1653;973;18.9;62.5;1.3521
1.3;1065;-200;5.5;789;79;936;81;1620;929;18.4;65.8;1.3802
1;999;-200;3.7;692;58;1038;69;1588;778;16.4;79.2;1.4681
0.6;911;-200;2.2;599;32;1189;48;1517;633;16.1;80;1.4562
0.4;873;-200;1.5;545;-200;1308;-200;1471;497;15.6;81;1.4302
-200;881;-200;1.5;546;21;1335;28;1465;458;15.6;81;1.4216
0.6;967;-200;2.9;646;49;1117;47;1552;579;15.7;80.5;1.4236
1.9;1280;-200;9.9;976;180;780;88;1912;1003;16;80.8;1.4602
4.5;1564;-200;23;1379;302;552;109;2306;1393;16.6;78;1.4572
4.3;1505;-200;22.3;1358;258;556;113;2248;1406;16.1;79.2;1.4398
3.2;1309;-200;16.2;1186;192;649;104;1973;1308;17.7;70.8;1.4171
1.3;1035;-200;7.9;895;84;898;65;1657;863;20.3;54.8;1.2867
2.2;1148;-200;12.4;1062;128;753;87;1825;1004;21.2;49.3;1.2271
2.6;1152;-200;13.6;1104;145;725;99;1860;1023;21.5;47.9;1.2178
2.3;1131;-200;12.3;1059;132;772;100;1784;978;21.4;47.7;1.2047
2.4;1142;-200;12.1;1053;136;753;105;1814;979;20.4;54;1.2757
2.6;1197;-200;12.9;1082;140;753;97;1851;971;19.9;57.1;1.3158
1.2;960;-200;6.3;828;55;971;54;1565;617;19.9;55.2;1.2701
1.6;1077;-200;10.6;1001;67;836;59;1764;717;19.5;55.7;1.2512
3.9;1377;-200;20.6;1313;191;612;109;2120;1220;18.3;62.8;1.3127
4.7;1405;-200;22.1;1353;227;602;125;2185;1296;17.2;68.3;1.3289
5.4;1484;-200;20.8;1319;264;591;132;2166;1413;16.1;75.2;1.3654
3;1187;-200;11.8;1042;196;766;110;1840;1093;16.6;70.8;1.3253
0.9;870;-200;4.3;729;43;1096;53;1475;586;18.5;56;1.181
1.1;932;-200;5;765;58;1054;61;1543;575;17.3;59.5;1.1667
0.7;830;-200;2.3;608;33;1282;41;1370;441;18.6;52.3;1.1121
0.5;778;-200;1.4;534;14;1480;22;1294;358;19;49.8;1.0831
0.5;820;-200;1.5;541;18;1450;28;1360;377;15.7;64.5;1.14
0.5;842;-200;1.8;565;-200;1327;-200;1399;437;15.5;66.9;1.1691
-200;867;-200;2.1;589;28;1267;41;1439;468;14.7;74.1;1.2302
0.8;927;-200;3.5;682;56;1109;54;1526;580;14.6;77.1;1.2727
1.3;1060;-200;6.9;851;108;912;81;1673;805;14.5;78.3;1.2851
3.5;1440;-200;19.1;1271;251;630;107;2163;1273;15.1;76.8;1.3061
-200;1449;-200;22;1350;-200;571;-200;2264;1452;16.4;70.8;1.3088
3.9;1384;-200;18.9;1265;255;620;124;2143;1307;16.4;72.4;1.3379
2.9;1172;-200;13;1085;214;737;123;1876;1102;16.3;68.6;1.2657
2.6;1143;-200;13;1083;190;735;120;1887;1083;17.2;62.9;1.2228
3;1167;-200;14.5;1134;182;709;113;1920;1083;17.4;61.1;1.206
3.7;1303;-200;19.7;1288;202;618;114;2116;1236;16.8;66.8;1.2691
3.9;1264;-200;19.4;1279;224;631;120;2049;1223;17.3;62.6;1.226
3.5;1242;-200;16.4;1193;221;684;125;1945;1175;17.5;60.8;1.2029
2.4;1070;-200;11.2;1022;126;824;88;1740;933;17.5;59.2;1.1725
1.6;981;-200;10;978;79;857;72;1682;835;17.7;56.9;1.1392
3;1198;-200;14.6;1136;137;717;103;1870;1291;17.1;61.5;1.1873
1.6;1000;-200;8.5;918;68;881;67;1661;802;17.5;63.9;1.2667
2.1;1110;-200;9.2;949;96;850;79;1733;842;15.9;70.7;1.2672
1.8;1023;-200;6.9;854;111;918;89;1637;744;15.1;75.1;1.2799
1.1;861;-200;3.7;695;56;1130;67;1438;500;13.9;72.5;1.1502
1.5;969;-200;4.9;760;81;1059;83;1518;560;12;79.8;1.1175
1.4;898;-200;4.6;741;79;1085;76;1468;589;12.5;75.8;1.0938
0.9;835;-200;3.4;674;46;1201;58;1416;488;12;75;1.0499
0.5;766;-200;1.2;523;19;1534;30;1310;387;12.6;72.2;1.0503
0.4;743;-200;1;502;-200;1635;-200;1292;355;12.7;71.6;1.0486
-200;758;-200;1.2;517;15;1625;22;1294;351;13.1;67.1;1.0079
0.6;804;-200;2.3;604;48;1366;50;1357;420;13.2;64.6;0.9774
1.3;948;-200;6.1;817;128;1048;92;1546;695;13.1;65.6;0.9815
2.9;1204;-200;16.8;1205;193;729;101;1984;1139;14.7;58.5;0.9688
3.6;1231;-200;20.3;1304;203;652;121;2029;1315;15.9;53.1;0.9529
3.4;1176;-200;16.4;1191;220;705;130;1836;1217;17.9;46.1;0.9388
2.5;1043;-200;12.5;1066;161;789;114;1692;1014;20.2;37.7;0.8833
2.1;992;-200;9.8;970;135;869;100;1624;884;18.5;42.8;0.9026
1.1;885;-200;5.2;772;57;1035;56;1450;524;13;64.3;0.9586
1.8;991;-200;8.9;937;91;874;75;1581;644;15.1;54.5;0.9309
3;1182;-200;14.1;1119;219;733;121;1831;1032;13.6;65.5;1.0184
3.1;1191;-200;12.7;1074;239;741;128;1816;1038;12.3;78.3;1.1154
3.6;1272;-200;14.6;1136;209;730;139;1869;1077;12.7;74.2;1.0863
3.3;1138;-200;12.4;1063;169;804;122;1728;983;14.4;64.2;1.049
1.8;1008;-200;9.4;954;92;892;92;1626;834;15.6;58.3;1.0266
2.1;1075;-200;11;1015;107;824;97;1722;949;15;61.4;1.0385
2.2;1034;-200;8.9;935;122;870;98;1605;941;13.7;65.8;1.0254
1.6;934;-200;6.6;841;100;973;93;1497;756;12.3;66.4;0.944
0.9;883;-200;3.9;705;51;1133;65;1422;655;15.4;58.8;1.0215
1.8;1021;-200;7.3;871;93;938;81;1586;805;14.1;64.9;1.0405
2.3;1059;-200;8.2;907;145;879;102;1579;970;13.8;64.7;1.0168
2;1023;-200;7.5;878;106;896;91;1568;969;13.5;67.8;1.042
0.9;855;-200;3.3;669;46;1160;56;1427;671;13.7;69.4;1.0794
0.6;826;-200;2.4;616;-200;1227;-200;1384;575;13.9;67.7;1.0712
-200;831;-200;2.2;602;32;1269;41;1386;535;14;67.8;1.0787
0.7;817;-200;2.8;639;51;1260;48;1364;489;14.6;61.1;1.0075
1.5;972;-200;7.5;880;89;964;72;1590;689;14.3;60.5;0.9847
3.7;1200;-200;19.8;1290;214;657;106;2014;1196;14.9;56.9;0.9582
4.2;1234;-200;22.1;1355;196;621;107;2095;1266;16.4;50.2;0.9286
3.4;1164;-200;15;1148;224;741;127;1824;1130;16;50.9;0.9211
2.4;976;-200;9.3;952;174;878;114;1582;834;18.6;42.8;0.9091
1.3;844;-200;6.3;825;90;1027;101;1405;536;19.7;33.7;0.7646
1.5;851;-200;8.2;906;89;989;95;1418;545;21.2;27.7;0.6864
2.2;926;-200;10.9;1010;132;904;110;1526;720;19.7;28.5;0.6445
1.8;890;-200;9.3;950;114;940;101;1460;655;19.8;29.7;0.678
1.9;921;-200;8.4;914;107;937;106;1481;614;19.2;35.6;0.7856
2.3;1052;-200;9.4;956;140;869;116;1600;725;14.2;60.5;0.9765
3.6;1247;-200;17.9;1238;187;691;124;1948;1036;12.9;69.1;1.0249
4.3;1205;-200;17.4;1222;222;684;133;1911;1127;12.7;70.4;1.0294
2.2;1016;-200;10.5;995;117;857;96;1642;854;13.9;62.7;0.9905
1.5;984;-200;7.5;879;89;940;85;1527;792;13.9;62.9;0.9948
2;1041;-200;8;898;130;922;97;1595;891;13.4;65.2;0.9996
2;1027;-200;7.7;887;133;927;97;1568;876;13.4;64.6;0.9864
2.1;1025;-200;7.3;869;144;954;101;1531;851;13.3;63.6;0.9677
1.5;984;-200;6.4;829;99;1003;85;1516;787;13.3;61.8;0.9433
2.2;969;-200;5.6;791;102;1084;80;1446;711;13.6;59.7;0.9271
0.5;758;-200;1.5;546;27;1483;33;1252;396;14.6;53.3;0.8807
-200;767;-200;1.5;547;-200;1482;-200;1239;375;14.3;51.7;0.8412
-200;772;-200;1.2;518;-200;1544;-200;1202;343;10.9;67.5;0.8785
-200;831;-200;1.6;557;-200;1480;-200;1257;401;7.4;85.2;0.8808
-200;871;-200;2.6;628;-200;1243;-200;1329;518;8.7;81.5;0.919
-200;995;-200;5.9;808;-200;1028;-200;1479;685;10.3;75.6;0.9458
-200;1093;-200;8.5;918;-200;857;-200;1589;939;11;75;0.9821
-200;1079;-200;7.7;885;-200;884;-200;1588;974;13.6;66.1;1.0236
-200;1084;-200;6.9;852;-200;910;-200;1575;959;14.7;63.1;1.0488
-200;1204;-200;10.1;982;-200;791;-200;1739;1067;13.8;72.3;1.1361
-200;1213;-200;11.1;1018;-200;760;-200;1778;1061;13.3;76.8;1.1703
-200;1124;-200;9.2;949;-200;827;-200;1671;1008;16.2;60;1.0937
-200;945;-200;4.3;726;-200;1053;-200;1432;637;16.3;55.3;1.0146
-200;964;-200;6.5;833;-200;1003;-200;1489;647;20;40.4;0.9354
-200;903;-200;5.4;786;-200;1073;-200;1375;523;19.8;35.4;0.8099
-200;918;-200;7.1;863;-200;992;-200;1408;539;19.8;33.6;0.767
-200;1028;-200;9.5;961;-200;913;-200;1502;649;17.8;38.5;0.7763
-200;1175;-200;17;1209;-200;720;-200;1829;1071;16.7;44.6;0.8393
-200;1215;-200;15.4;1161;-200;714;-200;1802;1237;15.1;51.8;0.8816
-200;1072;-200;9.9;976;-200;835;-200;1603;1018;14.1;56.2;0.9028
-200;1070;-200;9.3;952;-200;858;-200;1573;966;13.8;58.3;0.9147
-200;1021;-200;6.9;853;-200;979;-200;1457;901;13.7;59.7;0.9285
-200;1063;-200;7.1;859;-200;952;-200;1519;949;13.7;60.3;0.9405
-200;1068;-200;9;938;-200;862;-200;1575;1057;12.7;64.9;0.9506
-200;993;-200;8.3;913;-200;879;-200;1601;989;12.6;65.4;0.9529
-200;1034;-200;8.7;928;-200;848;-200;1619;1005;12.1;68.6;0.964
-200;1025;-200;8.4;914;-200;856;-200;1605;1003;12.3;68;0.9722
-200;1036;-200;8.1;902;-200;825;-200;1558;1087;11.9;71.1;0.9899
-200;924;-200;5.2;774;-200;987;-200;1460;909;11.3;73.8;0.9848
-200;922;-200;4.5;737;-200;1050;-200;1414;882;13.1;62.6;0.9419
-200;830;-200;2.6;625;-200;1266;-200;1303;568;16.8;46.8;0.8881
-200;947;-200;4.8;752;-200;1068;-200;1434;620;17.9;44.8;0.9104
-200;977;-200;4.5;737;-200;1025;-200;1450;686;17.8;49.5;0.9986
-200;1025;-200;4.9;761;-200;1008;-200;1476;700;18.8;46.4;0.9968
-200;1040;-200;5.8;804;-200;940;-200;1502;780;19.3;44;0.9783
-200;1013;-200;4.1;718;-200;1041;-200;1492;558;14.7;68.4;1.1405
-200;1035;-200;4.8;755;-200;997;-200;1521;608;15.6;65.8;1.1577
-200;1086;-200;7;859;-200;892;-200;1595;754;17.7;54;1.0826
-200;967;-200;4.8;753;-200;1048;-200;1420;544;17.8;46.7;0.9466
-200;968;-200;5.4;785;-200;1011;-200;1446;550;17.8;44.4;0.8967
-200;1004;-200;6.3;827;-200;972;-200;1465;627;17.8;44.3;0.8929
-200;1132;-200;10.1;981;-200;850;-200;1614;877;16.4;47.8;0.8851
-200;1121;-200;10.2;985;-200;833;-200;1625;981;15.6;51.6;0.9063
-200;1068;-200;8.4;917;-200;889;-200;1570;832;14.9;55;0.9228
-200;1123;-200;8.9;937;-200;866;-200;1606;941;13.8;59.8;0.9398
-200;1101;-200;8.8;933;-200;845;-200;1600;1022;13.8;62.1;0.9721
-200;997;-200;6.5;835;-200;951;-200;1501;888;13.9;61.1;0.9656
-200;875;-200;3;654;-200;1172;-200;1375;683;14.9;57.6;0.9684
-200;815;-200;1.8;569;-200;1361;-200;1344;534;14.4;60.1;0.9797
-200;803;-200;1.3;531;-200;1462;-200;1318;489;13.8;63.2;0.9952
-200;829;-200;1.8;570;-200;1304;-200;1357;562;14.2;62.9;1.0136
-200;867;-200;2.6;625;-200;1213;-200;1385;652;14;63.8;1.0167
-200;1118;-200;9.8;970;-200;837;-200;1705;1019;13.4;67.4;1.0292
-200;1632;-200;31.5;1587;-200;523;-200;2459;1678;14.7;62.3;1.0351
-200;1598;-200;35.2;1668;-200;490;-200;2617;1749;16;57.3;1.0342
